Stage1.Measurement12.DV_ErrorRate,Stage1.Output.Measurement12.U.Actual,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorRPM.C.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorRPM.C.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorRPM.C.Actual,Machine3.ExitZoneTemperature.C.Actual,FirstStage.CombinerOperation.Temperature3.C.Actual
0.19,1.6366666666666665,11.54,200,963.0,247,72.4,72.3,10.48,75.1,12.59,236,601.11,257,68.99,69.07,13.93,60.4,9.02,186,421.16,200,78.7,78.4,13.51,65.1,80.0
0.19,1.637,11.54,200,963.0,247,72.4,72.3,10.52,75.1,12.59,236,601.11,257,68.97,69.1,13.89,60.4,9.02,186,421.16,200,78.7,78.3,13.71,65.1,80.0
0.189,1.6373333333333335,11.54,200,963.0,247,72.4,72.3,10.52,75.1,12.59,236,601.11,257,68.97,69.06,13.91,60.5,9.02,186,421.16,200,78.7,78.3,13.81,65.1,80.0
0.19,1.6364285714285718,11.54,200,963.0,247,72.4,72.2,10.48,75.1,12.59,236,601.11,257,68.98,69.07,13.93,60.4,9.02,186,421.16,200,78.7,78.3,13.68,65.1,80.0
0.19,1.635714285714286,11.54,200,963.0,247,72.4,72.2,10.52,75.1,12.59,236,601.11,257,68.97,69.06,13.9,60.4,9.02,186,421.16,200,78.7,78.2,13.63,65.1,80.0
0.19,1.6364285714285713,11.54,200,963.0,247,72.4,72.2,10.52,75.1,12.59,236,601.11,257,69.01,69.08,13.86,60.4,9.02,186,421.16,200,78.7,78.2,13.63,65.1,80.0
0.189,1.6382142857142856,11.54,200,963.0,247,72.4,72.2,10.48,75.1,12.59,236,601.11,257,68.95,68.67,13.87,60.3,9.02,186,421.16,200,78.6,78.2,13.83,65.1,80.0
0.188,1.64,11.54,200,963.0,247,72.4,72.2,10.45,75.1,12.59,236,601.11,257,69.0,69.08,13.92,60.3,9.02,186,421.16,200,78.6,78.1,13.74,65.1,80.0
0.187,1.6414285714285712,11.54,200,963.0,247,72.4,72.2,10.48,75.1,12.59,236,601.11,257,69.01,69.05,13.91,60.2,9.02,186,421.16,200,78.6,78.1,13.76,65.1,80.0
0.187,1.6428571428571426,11.54,200,963.0,247,72.4,72.1,10.48,75.1,12.59,236,601.11,257,68.97,69.06,13.93,60.1,9.02,186,421.16,200,78.6,78.1,13.59,65.1,80.0
